iter	Passed	Remaining
404	6315	1481
405	6326	1464
406	6337	1448
407	6352	1432
408	6363	1415
409	6374	1399
410	6386	1382
411	6398	1366
412	6410	1350
413	6422	1334
414	6433	1317
415	6446	1301
416	6459	1285
417	6472	1269
418	6488	1254
419	6503	1238
420	6516	1222
421	6529	1206
422	6542	1190
423	6553	1174
424	6564	1158
425	6580	1143
426	6592	1127
427	6604	1110
428	6617	1095
429	6629	1079
430	6639	1063
431	6650	1046
432	6662	1030
433	6674	1015
434	6687	999
435	6700	983
436	6712	967
437	6726	952
438	6738	936
439	6751	920
440	6763	904
441	6775	889
442	6787	873
443	6799	857
444	6810	841
445	6824	826
446	6836	810
447	6848	794
448	6860	779
449	6873	763
450	6885	748
451	6897	732
452	6911	717
453	6922	701
454	6937	686
455	6950	670
456	6961	655
457	6974	639
458	6990	624
459	7002	608
460	7018	593
461	7036	578
462	7049	563
463	7064	548
464	7078	532
465	7089	517
466	7100	501
467	7116	486
468	7127	471
469	7140	455
470	7152	440
471	7166	425
472	7181	409
473	7192	394
474	7204	379
475	7216	363
476	7230	348
477	7242	333
478	7258	318
479	7270	302
480	7284	287
481	7296	272
482	7307	257
483	7318	241
484	7329	226
485	7340	211
486	7352	196
487	7364	181
488	7376	165
489	7388	150
490	7400	135
491	7412	120
492	7425	105
493	7437	90
494	7449	75
495	7461	60
496	7474	45
497	7486	30
498	7499	15
499	7509	0
