iter	MAE
176	0.1801717811
177	0.1801630158
178	0.1801207893
179	0.1801125701
180	0.1800810561
181	0.1800539195
182	0.1800463972
183	0.1800403899
184	0.1800333186
185	0.1800213869
186	0.1800041917
187	0.1799977205
188	0.179970073
189	0.1799639573
190	0.1799626944
191	0.1799617892
192	0.1799528693
193	0.1799480977
194	0.1799473586
195	0.1799449689
196	0.1798680783
197	0.1798603937
198	0.1798579127
199	0.1798555043
200	0.17985483
201	0.1798541377
202	0.179851785
203	0.1798495701
204	0.1798474064
205	0.1798452744
206	0.1798431998
207	0.1798425514
208	0.1798405265
209	0.1798399397
210	0.1798379889
211	0.1798371966
212	0.1798353468
213	0.1798081872
214	0.1798070623
215	0.1798065739
216	0.1797803364
217	0.1797558944
218	0.1797310864
219	0.1797075449
220	0.1796837979
221	0.1796622405
222	0.1796402794
223	0.1796194412
224	0.1796006701
225	0.1795807109
226	0.1795616975
227	0.1795429156
228	0.1795246993
229	0.1795097407
230	0.1795095108
231	0.1794938555
232	0.1794775098
233	0.1794775053
234	0.1794631151
235	0.1794477993
236	0.1794332759
237	0.1794328089
238	0.1794323621
239	0.1794171958
240	0.179404114
241	0.1793901934
242	0.1793897549
243	0.1793896722
244	0.179376732
245	0.1793641814
246	0.1793514629
247	0.1793391382
248	0.1793268901
249	0.1793152812
250	0.1793045131
251	0.1792942647
252	0.179284139
253	0.1792749812
254	0.1792650282
255	0.1792646843
256	0.179254988
257	0.1792453456
258	0.1792372005
259	0.1792371974
260	0.1792367928
261	0.179227882
262	0.1792190157
263	0.1792106048
264	0.1792106002
265	0.1792028005
266	0.1792016855
267	0.1791939551
268	0.179186992
269	0.1791863268
270	0.1791863259
271	0.1791789066
272	0.1791785848
273	0.1791785847
274	0.1791785812
275	0.1791721917
276	0.1791652159
277	0.1791648512
278	0.1791585362
279	0.1791521229
280	0.1791518103
281	0.1791452879
282	0.1791446679
283	0.1791383322
284	0.1791325957
285	0.1791267538
286	0.1791261551
287	0.179120594
288	0.1791160629
289	0.1791105984
290	0.1791105978
291	0.1791100171
292	0.1791100194
293	0.1791058886
294	0.1791058897
295	0.1791057142
296	0.1791007876
297	0.1790997145
298	0.179099346
299	0.1790949114
300	0.1790901436
301	0.1790854151
302	0.1790814654
303	0.1790811399
304	0.1790769574
305	0.1790729173
306	0.1790689811
307	0.1790684288
308	0.1790608881
309	0.1790573568
310	0.1790539248
311	0.1790503131
312	0.1790468803
313	0.1790434051
314	0.1790405227
315	0.1790371069
316	0.1790295495
317	0.179026591
318	0.179023381
319	0.1790205338
320	0.1790181292
321	0.1790155463
322	0.1790053626
323	0.1790043276
324	0.1790018636
325	0.1789967098
326	0.1789967085
327	0.1789939932
328	0.1789932446
329	0.1789932444
330	0.1789932436
331	0.1789907272
332	0.1789883495
333	0.178986147
334	0.1789840423
335	0.178981766
336	0.1789798291
337	0.1789777544
338	0.1789756345
339	0.1789737956
340	0.1789732412
341	0.1789713479
342	0.1789697467
343	0.178969155
344	0.1789673072
345	0.1789654378
346	0.1789638517
347	0.1789621301
348	0.1789606743
349	0.1789590606
350	0.1789576273
351	0.1789561659
352	0.1789548727
353	0.1789534694
354	0.1789520178
355	0.1789506374
356	0.1789492716
357	0.1789480062
358	0.1789469325
359	0.1789456849
360	0.1789445058
361	0.1789433809
362	0.1789423132
363	0.178942162
364	0.1789410817
365	0.1789400835
366	0.1789390667
367	0.1789381667
368	0.1789372516
369	0.1789363475
370	0.178935452
371	0.1789346359
372	0.1789233128
373	0.1789231714
374	0.1789223231
375	0.1789216053
376	0.1789207686
377	0.1789199739
378	0.1789192037
379	0.1789185212
380	0.178917813
381	0.1789172252
382	0.178916614
383	0.178915955
384	0.1789153549
385	0.1789147496
386	0.1789141346
387	0.1789132693
388	0.178912694
389	0.1789121281
390	0.178911655
391	0.1789111338
392	0.1789106642
393	0.1789101936
394	0.1789097567
395	0.1789090351
396	0.178908567
397	0.178908205
398	0.1789077752
399	0.1789075569
400	0.1789071812
401	0.1789067558
402	0.1789063489
403	0.1789059322
404	0.1789055441
405	0.1789051595
406	0.1789047945
407	0.1789044453
408	0.1789040943
409	0.1789037558
410	0.1789033076
411	0.178902971
412	0.1789026248
413	0.1789023026
414	0.1789019876
415	0.178901692
416	0.1789014245
417	0.1789011651
418	0.1789008917
419	0.1789006212
420	0.178900297
421	0.1789000269
422	0.1788997812
423	0.1788995087
424	0.1788992856
425	0.1788990632
426	0.1788988475
427	0.1788986402
428	0.1788981901
429	0.178897952
430	0.1788977579
431	0.1788974113
432	0.1788972212
433	0.1788972193
434	0.1788965855
435	0.178896499
436	0.1788963143
437	0.1788940386
438	0.178893861
439	0.1788935791
440	0.1788929498
441	0.1788929482
442	0.1788890166
443	0.1788890154
444	0.1788882255
445	0.1788874535
446	0.1788836638
447	0.1788836646
448	0.1788836643
449	0.1788836621
450	0.1788836604
451	0.1788829029
452	0.1788829011
453	0.1788792261
454	0.1788785219
455	0.1788778765
456	0.1788771928
457	0.1788771747
458	0.1788764414
459	0.1788757126
460	0.1788750037
461	0.1788743364
462	0.1788736933
463	0.1788730699
464	0.1788727047
465	0.1788691394
466	0.1788656814
467	0.1788656759
468	0.1788650644
469	0.1788650152
470	0.1788650161
471	0.1788649932
472	0.178864971
473	0.1788649698
474	0.1788649687
475	0.1788649646
476	0.1788647865
477	0.1788647853
478	0.1788647601
479	0.17886459
480	0.1788645661
481	0.1788612128
482	0.1788579602
483	0.178857853
484	0.1788563473
485	0.1788531926
486	0.1788526398
487	0.1788495806
488	0.1788495575
489	0.1788495565
490	0.1788493942
491	0.1788492367
492	0.1788492374
493	0.1788477755
494	0.1788476751
495	0.1788475289
496	0.1788475303
497	0.1788475071
498	0.1788473624
499	0.1788472254
