iter	MAE
0	0.2385009494
1	0.2367561178
2	0.2350827031
3	0.2335163232
4	0.2319278339
5	0.2303826764
6	0.228906609
7	0.2275866163
8	0.2260772298
9	0.2252446007
10	0.2239172664
11	0.2226422492
12	0.221408892
13	0.2202113893
14	0.219035693
15	0.2179088967
16	0.2168031137
17	0.2157304622
18	0.2146964036
19	0.2136853157
20	0.2127051539
21	0.2117690792
22	0.2108458951
23	0.2099490242
24	0.2090941731
25	0.2082514108
26	0.2074421258
27	0.2066621926
28	0.2059034372
29	0.205159939
30	0.2044342498
31	0.20374189
32	0.2030598378
33	0.2024058803
34	0.2017718676
35	0.2011494412
36	0.2005454383
37	0.1999595782
38	0.1993989379
39	0.1988536293
40	0.198324398
41	0.1978039891
42	0.1973043156
43	0.1968200518
44	0.1963441558
45	0.1958890765
46	0.1954415079
47	0.1950039251
48	0.1945831358
49	0.1941754102
50	0.1937773802
51	0.1933976111
52	0.1930287851
53	0.1926717573
54	0.1923246442
55	0.1919890946
56	0.1916580571
57	0.1913458349
58	0.1910342331
59	0.1907326742
60	0.1904436895
61	0.19015838
62	0.1898811595
63	0.1896174521
64	0.1893570153
65	0.1891042574
66	0.1888592298
67	0.1886222069
68	0.188395688
69	0.1881716326
70	0.1879539927
71	0.1877466551
72	0.1875477755
73	0.1873542255
74	0.1871616212
75	0.1870628559
76	0.1868813808
77	0.1867057592
78	0.1865347302
79	0.1863668402
80	0.1862064036
81	0.1860491802
82	0.1858976026
83	0.1857149307
84	0.185581902
85	0.1854412335
86	0.1852741395
87	0.1851420232
88	0.1849821465
89	0.1848583089
90	0.1847381987
91	0.1846206212
92	0.1845072721
93	0.1843987095
94	0.1842938911
95	0.1841895341
96	0.1840882419
97	0.1839138162
98	0.1838182615
99	0.1837256031
100	0.1836358309
101	0.183456325
102	0.1833725274
103	0.1832908335
104	0.1832111559
105	0.183088713
106	0.1830136391
107	0.1829414988
108	0.1828714121
109	0.1827182659
110	0.1826539403
111	0.1825009426
112	0.1824380641
113	0.1823777387
114	0.1823188779
115	0.1822391142
116	0.1821835571
117	0.1820852735
118	0.1820328896
119	0.1819820456
120	0.1819326879
121	0.1818848882
122	0.181838709
123	0.1817937339
124	0.1817500669
125	0.1817076938
126	0.1816667706
127	0.1816269844
128	0.1815883335
129	0.1815508157
130	0.181470517
131	0.1814352197
132	0.1813598353
133	0.1813266284
134	0.1812944159
135	0.1812632893
136	0.1812331485
137	0.1811767888
138	0.18114819
139	0.1811204367
140	0.1810914365
141	0.1810654328
142	0.1810403489
143	0.1810157961
144	0.1809939015
145	0.1809708124
146	0.1809483972
147	0.1809266754
148	0.1809056467
149	0.1808043851
150	0.1807844029
151	0.180765016
152	0.1807060986
153	0.1806878133
154	0.1806529716
155	0.1806357945
156	0.1806221781
157	0.1805308413
158	0.1805152004
159	0.1804215139
160	0.1804065651
161	0.1803949728
162	0.1803810927
163	0.1803675217
164	0.1803543527
165	0.1803415904
166	0.1803292078
167	0.1803172516
168	0.1803055984
169	0.1802583702
170	0.1802474019
171	0.1802367455
172	0.1802264317
173	0.1802164263
174	0.1802067312
175	0.1801809024
